DATE INITIATED,RAPID RESPONSE IDENTIFIER,AGENCY ASSIGNED,NAME,ADDRESS,CITY,COUNTY,NUMBER OF POSITIVE CASES REPORTED
2/8/2021,RR-00038033,NMED,ALBUQUERQUE PLUMBING HTG-CLNG,4300 2ND ST NW,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038032,NMED,SANDIA BOTANICALS,2406 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038030,NMED,GALLES CHEVROLET,2801 UNIVERSITY BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038031,NMED,WALMART PHARMACY,3728 N PRINCE ST,CLOVIS,CURRY,1
2/8/2021,RR-00038034,NMED,POSH SKIN & NAIL,1901 E UNIVERSITY,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038027,HED,NEW MEXICO STATE UNIV DACC,800 SONOMA RANCH BLVD,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038016,NMED,WHOLE FOODS MARKET,5815 WYOMING BLVD NE,ALBUQUERQUE,BERNALILLO,2
2/8/2021,RR-00038029,PED,JIMMY CARTER MIDDLE SCHOOL,8901 BLUEWATER RD NW,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038038,NMED,ERG TEST GROUP,TEST LOCATION,TEST LOCATION,BERNALILLO,1
2/8/2021,RR-00038043,NMED,SCHWAN'S SALES ENT LOCAL SALES,8332 CORONA LOOP NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038041,NMCD,SAN JUAN COUNTY ADULT DTNTN,871 ANDREA DR,FARMINGTON,SAN JUAN,1
2/8/2021,RR-00038049,DOH,LOS ALAMOS NATIONAL LABORATORY,PO BOX 1663,LOS ALAMOS,LOS ALAMOS,1
2/8/2021,RR-00038056,DOH,RUST MEDICAL CTR,2400 UNSER BLVD SE,RIO RANCHO,SANDOVAL,1
2/8/2021,RR-00038063,NMED,COMCAST CABLE,4611 MONTBEL PL NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038042,NMED,SILVER CITY FOOD BASKET,1220 N HUDSON ST,SILVER CITY,GRANT,1
2/8/2021,RR-00038040,NMED,ALBUQUERQUE PLUMBING HTG-CLNG,4300 2ND ST NW,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038057,PED,ELIDA ELEMENTARY SCHOOL,103 CHURCH ST,ELIDA,ROOSEVELT,1
2/8/2021,RR-00038061,NMED,SOL AERO TECHNOLOGIES CORP,10420 RESEARCH RD SE # 1,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038060,NMED,WALMART SUPERCENTER,604 N 26TH ST,ARTESIA,EDDY,1
2/8/2021,RR-00038047,NMED,WALMART SUPERCENTER,233 S NEW YORK AVE,ALAMOGORDO,OTERO,1
2/8/2021,RR-00038054,DOH,PRESBYTERIAN HOSPITAL,1100 CENTRAL AVE SE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038053,DOH,PRESBYTERIAN HOSPITAL,1100 CENTRAL AVE SE # 7,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038062,PED,POJOAQUE INTERMEDIATE SCHOOL,1574 NM 502,SANTA FE,SANTA FE,1
2/8/2021,RR-00038055,PED,APS TRANSPORTATION DEPT,5200 CUTLER AVE NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038044,NMED,EOG RESOURCES INC,104 S 4TH ST,ARTESIA,EDDY,1
2/8/2021,RR-00038045,PED,GRADY MUNICIPAL SCH,100 FRANKLIN ST,GRADY,CURRY,1
2/8/2021,RR-00038039,NMED,PREMIER DISTRIBUTING CO,4321 YALE BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038052,HED,NEW MEXICO STATE UNIVERSITY,1780 E UNIVERSITY AVE,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038050,NMED,FOXWORTH-GALBRAITH LUMBER CO,100 HIGHWAY 70,RUIDOSO,LINCOLN,1
2/8/2021,RR-00038058,ALTSD,GENERATIONS PERSONAL CARE AGCY,942 SCHOFIELD LN,FARMINGTON,SAN JUAN,1
2/8/2021,RR-00038048,ECECD,BRIGHT BEGINNINGS CHILD DEVMNT,2302 COLLINS DR,LAS VEGAS,SAN MIGUEL,1
2/8/2021,RR-00038059,DOH,HIDALGO MEDICAL SVC,530 DE MOSS ST,LORDSBURG,HIDALGO,1
2/8/2021,RR-00038046,NMED,HEADS UP LANDSCAPE CONTRACTORS,7525 2ND ST NW,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038067,NMED,DEL NORTE CREDIT UNION,1216 N PASEO DE ONATE,ESPANOLA,RIO ARRIBA,1
2/8/2021,RR-00038065,NMED,COMCAST CABLE,4611 MONTBEL PL NE,ALBUQUERQUE,BERNALILLO,1
