,Unnamed: 0,best_match_score,__id_left,__id_right,DATE INITIATED,RAPID RESPONSE IDENTIFIER,AGENCY ASSIGNED,NAME,ADDRESS,CITY,COUNTY,NUMBER OF POSITIVE CASES REPORTED,full address state,RID,UPA #,Estab Name,Site Address 1,Site Address 2,Site City,Site State,Site Zip,Site County,Primary/Site NAICS,UPA Receipt Date,Receipt Type,Formality,Insp #,Hazard Desc & Location,# Alleged Hazards/ Emp Exposed,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,full address fed,geocodes_match,state_latlong,fed_latlong,state_place_id,fed_place_id,state_gmaps_query,fed_gmaps_query
0,319470,1.6138883432579023,6310_left,39_right,1/5/2021,RR-00031243,NMED,BEAR CANYON FAMILY DENTISTRY,7007 WYOMING BLVD NE # B2,ALBUQUERQUE,BERNALILLO,1,"7007 WYOMING BLVD NE # B2, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1607706,Bear Canyon Family Dentistry,7007 Wyoming Blvd. NE,Suite B2,ALBUQUERQUE,NM,87109,BERNALILLO,621210 / 621210,06/17/2020,Online,Formal,,The clinic team is assigned 3- N95 masks and instructed to wear one mask continuously for a week.,/,,,,,,,,,"7007 Wyoming Blvd. NE, Suite B2, ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1581929, 'lng': -106.5602716}","{'lat': 35.1581929, 'lng': -106.5602716}",ChIJg4NBraF1IocRU7_POabe32Q,ChIJg4NBraF1IocRU7_POabe32Q,"BEAR CANYON FAMILY DENTISTRY 7007 WYOMING BLVD NE # B2, ALBUQUERQUE, BERNALILLO County, NM","Bear Canyon Family Dentistry 7007 Wyoming Blvd. NE, Suite B2, ALBUQUERQUE, BERNALILLO County, NM"
1,1053298,1.6111223441470024,20885_left,45_right,11/19/2020,RR-00014833,DHI,BEN ARCHER HEALTH CTR,1600 THORPE RD,LAS CRUCES,DONA ANA,1,"1600 THORPE RD, LAS CRUCES, DONA ANA County, NM",653510,C-1628297,Ben Archer Health Center,1600 Thorpe Rd.,,LAS CRUCES,NM,88012,DONA ANA,621111 / 621111,07/22/2020,Email,Formal,,"We were informed that several employees from our dental staff had tested positive for COVID. On of the dental assistants (who tested positive) had contact with on of our secretaries in our building in social services. All employees who were instructed to get tested, but they are still at work in very close quarters until they get their results. The offices did not close for disinfecting and we are all still exposed to these employees. We're not the first Ben Archer Health Center clinics where this has happened. No policies are in place. I've reached out to the Mayor, State Police and Media only to be ignored.",/,,,,,,,,,"1600 Thorpe Rd., , LAS CRUCES, DONA ANA County, NM",True,"{'lat': 32.3914256, 'lng': -106.8058419}","{'lat': 32.3914256, 'lng': -106.8058419}",ChIJ_eRZVvc73oYR5cZk2BR7ipE,ChIJ_eRZVvc73oYR5cZk2BR7ipE,"BEN ARCHER HEALTH CTR 1600 THORPE RD, LAS CRUCES, DONA ANA County, NM","Ben Archer Health Center 1600 Thorpe Rd., , LAS CRUCES, DONA ANA County, NM"
2,1138447,1.6111223441470024,22522_left,45_right,11/16/2020,RR-00013637,DHI,BEN ARCHER HEALTH CTR,1600 THORPE RD,LAS CRUCES,DONA ANA,1,"1600 THORPE RD, LAS CRUCES, DONA ANA County, NM",653510,C-1628297,Ben Archer Health Center,1600 Thorpe Rd.,,LAS CRUCES,NM,88012,DONA ANA,621111 / 621111,07/22/2020,Email,Formal,,"We were informed that several employees from our dental staff had tested positive for COVID. On of the dental assistants (who tested positive) had contact with on of our secretaries in our building in social services. All employees who were instructed to get tested, but they are still at work in very close quarters until they get their results. The offices did not close for disinfecting and we are all still exposed to these employees. We're not the first Ben Archer Health Center clinics where this has happened. No policies are in place. I've reached out to the Mayor, State Police and Media only to be ignored.",/,,,,,,,,,"1600 Thorpe Rd., , LAS CRUCES, DONA ANA County, NM",True,"{'lat': 32.3914256, 'lng': -106.8058419}","{'lat': 32.3914256, 'lng': -106.8058419}",ChIJ_eRZVvc73oYR5cZk2BR7ipE,ChIJ_eRZVvc73oYR5cZk2BR7ipE,"BEN ARCHER HEALTH CTR 1600 THORPE RD, LAS CRUCES, DONA ANA County, NM","Ben Archer Health Center 1600 Thorpe Rd., , LAS CRUCES, DONA ANA County, NM"
3,847301,1.6111223441470024,16814_left,45_right,11/30/2020,RR-00019984,DHI,BEN ARCHER HEALTH CTR,1600 THORPE RD,LAS CRUCES,DONA ANA,1,"1600 THORPE RD, LAS CRUCES, DONA ANA County, NM",653510,C-1628297,Ben Archer Health Center,1600 Thorpe Rd.,,LAS CRUCES,NM,88012,DONA ANA,621111 / 621111,07/22/2020,Email,Formal,,"We were informed that several employees from our dental staff had tested positive for COVID. On of the dental assistants (who tested positive) had contact with on of our secretaries in our building in social services. All employees who were instructed to get tested, but they are still at work in very close quarters until they get their results. The offices did not close for disinfecting and we are all still exposed to these employees. We're not the first Ben Archer Health Center clinics where this has happened. No policies are in place. I've reached out to the Mayor, State Police and Media only to be ignored.",/,,,,,,,,,"1600 Thorpe Rd., , LAS CRUCES, DONA ANA County, NM",True,"{'lat': 32.3914256, 'lng': -106.8058419}","{'lat': 32.3914256, 'lng': -106.8058419}",ChIJ_eRZVvc73oYR5cZk2BR7ipE,ChIJ_eRZVvc73oYR5cZk2BR7ipE,"BEN ARCHER HEALTH CTR 1600 THORPE RD, LAS CRUCES, DONA ANA County, NM","Ben Archer Health Center 1600 Thorpe Rd., , LAS CRUCES, DONA ANA County, NM"
4,187942,1.4760786593440556,3718_left,28_right,1/14/2021,RR-00034048,NMED,ALBUQUERQUE MOVING & STORAGE,5001 PASEO DEL NORTE NE,ALBUQUERQUE,BERNALILLO,1,"5001 PASEO DEL NORTE NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1570553,Albuquerque Moving and Storage,5001 Paseo del Norte NE,,ALBUQUERQUE,NM,87113,BERNALILLO,484210 / 484210,04/13/2020,Online,Formal,,"Company is not providing moving teams with COVID-19 PPE, such as hand sanitizer, gloves, or face masks, despite them entering multiple private residences and interacting with numerous customers throughout a single day.",/,,,,,,,,,"5001 Paseo del Norte NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.175436, 'lng': -106.588492}","{'lat': 35.175436, 'lng': -106.588492}",ChIJFVHvejZ0IocRbeJFbEnxeEI,ChIJFVHvejZ0IocRbeJFbEnxeEI,"ALBUQUERQUE MOVING & STORAGE 5001 PASEO DEL NORTE NE, ALBUQUERQUE, BERNALILLO County, NM","Albuquerque Moving and Storage 5001 Paseo del Norte NE, , ALBUQUERQUE, BERNALILLO County, NM"
5,394796,1.4760786593440556,7812_left,28_right,12/30/2020,RR-00029763,NMED,ALBUQUERQUE MOVING & STORAGE,5001 PASEO DEL NORTE NE,ALBUQUERQUE,BERNALILLO,1,"5001 PASEO DEL NORTE NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1570553,Albuquerque Moving and Storage,5001 Paseo del Norte NE,,ALBUQUERQUE,NM,87113,BERNALILLO,484210 / 484210,04/13/2020,Online,Formal,,"Company is not providing moving teams with COVID-19 PPE, such as hand sanitizer, gloves, or face masks, despite them entering multiple private residences and interacting with numerous customers throughout a single day.",/,,,,,,,,,"5001 Paseo del Norte NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.175436, 'lng': -106.588492}","{'lat': 35.175436, 'lng': -106.588492}",ChIJFVHvejZ0IocRbeJFbEnxeEI,ChIJFVHvejZ0IocRbeJFbEnxeEI,"ALBUQUERQUE MOVING & STORAGE 5001 PASEO DEL NORTE NE, ALBUQUERQUE, BERNALILLO County, NM","Albuquerque Moving and Storage 5001 Paseo del Norte NE, , ALBUQUERQUE, BERNALILLO County, NM"
6,1051644,1.4760786593440556,20854_left,28_right,11/19/2020,RR-00015279,NMED,ALBUQUERQUE MOVING & STORAGE,5001 PASEO DEL NORTE NE,ALBUQUERQUE,BERNALILLO,1,"5001 PASEO DEL NORTE NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1570553,Albuquerque Moving and Storage,5001 Paseo del Norte NE,,ALBUQUERQUE,NM,87113,BERNALILLO,484210 / 484210,04/13/2020,Online,Formal,,"Company is not providing moving teams with COVID-19 PPE, such as hand sanitizer, gloves, or face masks, despite them entering multiple private residences and interacting with numerous customers throughout a single day.",/,,,,,,,,,"5001 Paseo del Norte NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.175436, 'lng': -106.588492}","{'lat': 35.175436, 'lng': -106.588492}",ChIJFVHvejZ0IocRbeJFbEnxeEI,ChIJFVHvejZ0IocRbeJFbEnxeEI,"ALBUQUERQUE MOVING & STORAGE 5001 PASEO DEL NORTE NE, ALBUQUERQUE, BERNALILLO County, NM","Albuquerque Moving and Storage 5001 Paseo del Norte NE, , ALBUQUERQUE, BERNALILLO County, NM"
7,1346602,1.4691182460757213,26597_left,58_right,11/5/2020,RR-9372,NMED,SYSCO NEW MEXICO LLC,601 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1,"601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1667464,"Sysco New Mexico, LLC",601 Comanche Road NE,,ALBUQUERQUE,NM,87107,BERNALILLO,493120 / 493120,10/01/2020,Online,Formal,,"The complainant believes that there have been 4 confirmed cases at the facility, and that everyone is at risk of COVID-19.",/,,,,,,,,,"601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1276312, 'lng': -106.6266896}","{'lat': 35.1276312, 'lng': -106.6266896}",ChIJTz7IJmBzIocR4-Fe10oTUFg,ChIJTz7IJmBzIocR4-Fe10oTUFg,"SYSCO NEW MEXICO LLC 601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM","Sysco New Mexico, LLC 601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM"
8,636993,1.4691182460757213,12672_left,58_right,12/10/2020,RR-00024377,NMED,SYSCO NEW MEXICO LLC,601 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,2,"601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1667464,"Sysco New Mexico, LLC",601 Comanche Road NE,,ALBUQUERQUE,NM,87107,BERNALILLO,493120 / 493120,10/01/2020,Online,Formal,,"The complainant believes that there have been 4 confirmed cases at the facility, and that everyone is at risk of COVID-19.",/,,,,,,,,,"601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1276312, 'lng': -106.6266896}","{'lat': 35.1276312, 'lng': -106.6266896}",ChIJTz7IJmBzIocR4-Fe10oTUFg,ChIJTz7IJmBzIocR4-Fe10oTUFg,"SYSCO NEW MEXICO LLC 601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM","Sysco New Mexico, LLC 601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM"
9,115646,1.4691182460757213,2275_left,58_right,1/21/2021,RR-00035418,NMED,SYSCO NEW MEXICO LLC,601 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1,"601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1667464,"Sysco New Mexico, LLC",601 Comanche Road NE,,ALBUQUERQUE,NM,87107,BERNALILLO,493120 / 493120,10/01/2020,Online,Formal,,"The complainant believes that there have been 4 confirmed cases at the facility, and that everyone is at risk of COVID-19.",/,,,,,,,,,"601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1276312, 'lng': -106.6266896}","{'lat': 35.1276312, 'lng': -106.6266896}",ChIJTz7IJmBzIocR4-Fe10oTUFg,ChIJTz7IJmBzIocR4-Fe10oTUFg,"SYSCO NEW MEXICO LLC 601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM","Sysco New Mexico, LLC 601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM"
