"LABOR FORCE DATA SEASONALLY ADJUSTED Table 1. Civilian labor force and unemployment by state and selected area, seasonally adjusted State and area",Civilian labor force,,,,Unemployed,,,,,,,,,
"LABOR FORCE DATA SEASONALLY ADJUSTED Table 1. Civilian labor force and unemployment by state and selected area, seasonally adjusted State and area",Dec. 2019,Oct. 2020,Nov. 2020,Dec. 2020 ( p ),Number,,,,Percent of labor force,,,,,
"LABOR FORCE DATA SEASONALLY ADJUSTED Table 1. Civilian labor force and unemployment by state and selected area, seasonally adjusted State and area",Dec. 2019,Oct. 2020,Nov. 2020,Dec. 2020 ( p ),Dec. 2019,Oct. 2020,Nov. 2020,Dec. 2020 ( p ),Dec. 2019,Oct. 2020,Nov. 2020,Dec. 2020 ( p ),,
Alabama,"2,247,886","2,247,024","2,260,109","2,237,753","61,530","127,425","100,374","87,534",2.7,5.7,4.4,3.9,,
Alaska,"346,831","353,383","348,776","347,935","21,234","20,756","22,026","20,229",6.1,5.9,6.3,5.8,,
Arizona,"3,594,630","3,581,246","3,564,114","3,569,429","163,303","282,643","284,758","268,293",4.5,7.9,8,7.5,,
Arkansas,"1,364,255","1,330,662","1,321,993","1,360,897","48,186","83,039","83,863","57,224",3.5,6.2,6.3,4.2,,
California,"19,483,790","19,216,657","18,888,527","18,960,473","754,716","1,728,135","1,536,684","1,700,383",3.9,9,8.1,9,,
Los Angeles-Long Beach-Glendale ( 1 ),"5,150,159","5,063,745","4,976,338","4,904,989","222,105","608,774","544,409","539,743",4.3,12,10.9,11,,
Colorado,"3,174,504","3,136,138","3,170,179","3,212,601","80,339","199,884","202,338","269,179",2.5,6.4,6.4,8.4,,
Connecticut,"1,926,276","1,848,100","1,882,575","1,879,201","72,279","112,748","154,655","150,370",3.8,6.1,8.2,8,,
Delaware,"488,861","480,859","481,387","478,541","19,400","27,166","24,573","25,191",4,5.6,5.1,5.3,,
District of Columbia,"411,960","398,723","397,563","415,123","21,879","32,942","29,843","32,980",5.3,8.3,7.5,7.9,,
Florida,"10,419,034","10,096,966","10,112,404","10,143,360","297,440","644,139","632,075","614,327",2.9,6.4,6.3,6.1,,
Miami-Miami Beach-Kendall ( 1 ),"1,390,408","1,338,105","1,333,145","1,312,479","27,915","117,108","108,130","98,980",2,8.8,8.1,7.5,,
Georgia,"5,137,642","5,087,554","5,160,598","5,127,620","161,706","227,680","293,533","286,281",3.1,4.5,5.7,5.6,,
Hawaii,"666,539","642,593","661,413","651,055","17,666","91,238","68,676","60,676",2.7,14.2,10.4,9.3,,
Idaho,"888,658","912,798","904,379","907,552","25,389","50,419","43,872","40,129",2.9,5.5,4.9,4.4,,
Illinois,"6,433,027","6,288,658","6,167,236","6,170,416","236,218","466,347","425,859","466,205",3.7,7.4,6.9,7.6,,
Chicago-Naperville-Arlington Heights ( 1 ),"3,710,248","3,549,513","3,562,402","3,603,732","122,966","309,284","269,874","321,745",3.3,8.7,7.6,8.9,,
Indiana,"3,388,859","3,371,127","3,307,364","3,390,973","107,650","185,324","168,259","144,356",3.2,5.5,5.1,4.3,,
